region,year,num_members,num_reporting_exports,num_reporting_imports,dig_services_exports_usd_millions_total,dig_services_imports_usd_millions_total
ASEAN,2010,10,9,9,70486.0,85306.0
ASEAN,2011,10,9,9,85023.0,104218.0
ASEAN,2012,10,9,9,97079.0,115330.0
ASEAN,2013,10,9,9,107241.0,128596.0
ASEAN,2014,10,10,10,115946.0,134504.0
ASEAN,2015,10,9,9,121377.0,129958.0
ASEAN,2016,10,9,9,128805.0,132813.0
ASEAN,2017,10,9,9,142775.0,147912.0
ASEAN,2018,10,9,9,170309.0,169101.0
ASEAN,2019,10,8,9,163665.0,178286.0
ASEAN,2020,10,9,10,173756.0,192684.0
ASEAN,2021,10,9,9,203932.0,224628.0
ASEAN,2022,10,8,9,225031.0,250422.0
ASEAN,2023,10,6,8,238401.0,269825.0
EU27,2010,27,26,26,653284.0,634571.0
EU27,2011,27,26,26,742425.0,708574.0
EU27,2012,27,27,27,784009.0,736176.0
EU27,2013,27,27,27,862304.0,794651.0
EU27,2014,27,27,27,962653.0,919645.0
EU27,2015,27,27,27,908084.0,931100.0
EU27,2016,27,27,27,956851.0,967415.0
EU27,2017,27,27,27,1063184.0,1053897.0
EU27,2018,27,27,27,1202954.0,1161642.0
EU27,2019,27,26,27,1261700.0,1324929.0
EU27,2020,27,26,27,1264196.0,1305807.0
EU27,2021,27,26,27,1501182.0,1429581.0
EU27,2022,27,26,27,1520467.0,1453221.0
EU27,2023,27,26,27,1699665.0,1647338.0
G7,2010,7,7,7,912239.0,664653.0
G7,2011,7,7,7,1031991.0,723948.0
G7,2012,7,7,7,1057375.0,738303.0
G7,2013,7,7,7,1114664.0,776272.0
G7,2014,7,7,7,1209026.0,846654.0
G7,2015,7,7,7,1167943.0,822084.0
G7,2016,7,7,7,1214703.0,867179.0
G7,2017,7,7,7,1301069.0,929393.0
G7,2018,7,7,7,1406728.0,1000085.0
G7,2019,7,7,7,1441410.0,1038571.0
G7,2020,7,7,7,1450667.0,1065546.0
G7,2021,7,7,7,1676592.0,1209604.0
G7,2022,7,7,7,1697421.0,1247410.0
G7,2023,7,7,7,1851255.0,1377621.0
